Year,Country,Total Prize Money (Year),Number of Players
2020,United States,"$22,869,599.78 ",4849
2020,China,"$17,251,049.62 ",847
2020," Korea,Republic of","$9,481,807.36 ",939
2020,France,"$5,017,233.52 ",993
2020,Brazil,"$4,545,009.93 ",920
2020,United Kingdom,"$4,416,966.63 ",790
2020,Russian Federation,"$4,416,475.95 ",824
2020,Denmark,"$3,936,165.19 ",380
2020,Germany,"$3,655,420.65 ",1074
2020,Canada,"$3,452,648.97 ",659
2020,Thailand,"$2,627,871.67 ",532
2020,Sweden,"$2,580,377.92 ",482
2020,Japan,"$2,198,995.90 ",560
2020,Australia,"$2,174,369.87 ",691
2020,Poland,"$1,773,721.77 ",502
2020," Taiwan, Republic of China","$1,701,362.09 ",269
2020,Finland,"$1,671,598.29 ",321
2020,Netherlands,"$1,260,909.71 ",374
2020,Ukraine,"$1,255,288.33 ",235
2020,Norway,"$1,215,957.20 ",216
2020,Spain,"$1,164,067.59 ",479
2020,Viet Nam,"$1,135,527.20 ",471
2020,Turkey,"$847,256.46 ",255
2020,Indonesia,"$804,661.18 ",319
2020,Italy,"$687,427.56 ",303
2020,Mexico,"$664,637.41 ",240
2020,Philippines,"$632,661.87 ",207
2020,Argentina,"$631,098.69 ",209
2020,Bulgaria,"$618,750.84 ",69
2020,Saudi Arabia,"$592,436.40 ",113
2020,Malaysia,"$577,775.61 ",154
2020,Czech Republic,"$565,933.46 ",232
2020,Kazakhstan,"$496,266.45 ",61
2020,Singapore,"$484,224.76 ",130
2020,Estonia,"$444,887.98 ",77
2020,Belgium,"$433,503.78 ",160
2020,Jordan,"$426,537.70 ",22
2020,Slovenia,"$423,939.83 ",24
2020,Austria,"$406,246.34 ",140
2020,Portugal,"$370,970.43 ",162
2020,India,"$304,991.36 ",228
2020,Belarus,"$299,760.81 ",84
2020,Slovakia,"$290,944.67 ",77
2020,Peru,"$288,520.06 ",118
2020,Israel,"$276,631.93 ",52
2020,Latvia,"$257,583.80 ",61
2020,Romania,"$241,826.83 ",105
2020,Chile,"$238,158.92 ",127
2020,New Zealand,"$229,711.09 ",60
2020,Lithuania,"$220,901.32 ",117
2020,Greece,"$217,344.53 ",92
2020,Hungary,"$209,991.71 ",120
2020,Hong Kong,"$204,198.44 ",86
2020,Switzerland,"$188,500.48 ",153
2020,Croatia,"$185,946.07 ",57
2020,Serbia,"$179,895.39 ",106
2020,Bosnia and Herzegovina,"$173,888.88 ",25
2020,Mongolia,"$164,044.80 ",68
2020,Uzbekistan,"$159,810.66 ",20
2020,Lebanon,"$135,902.94 ",21
2020," Iran, Islamic Republic of","$134,234.27 ",14
2020,Ireland,"$125,308.05 ",52
2020,South Africa,"$124,943.49 ",84
2020," Macedonia, The Former Yugoslav Republic of","$114,065.88 ",22
2020,Armenia,"$112,713.43 ",20
2020,Pakistan,"$108,455.79 ",129
2020," Moldova, Republic of","$97,216.22 ",11
2020,Kyrgyzstan,"$93,598.60 ",8
2020,Colombia,"$81,431.76 ",55
2020,Macao,"$65,564.02 ",7
2020,Puerto Rico,"$57,053.40 ",30
2020,Bahrain,"$45,550.00 ",7
2020,Georgia,"$44,672.47 ",22
2020,Azerbaijan,"$44,031.05 ",33
2020,Cuba,"$43,336.82 ",12
2020,Egypt,"$41,331.74 ",30
2020,Montenegro,"$40,333.23 ",4
2020,Morocco,"$39,389.56 ",14
2020,Afghanistan,"$37,720.00 ",2
2020,Albania,"$34,918.88 ",20
2020,Syrian Arab Republic,"$29,023.10 ",22
2020,Bolivia,"$26,903.07 ",7
2020,Costa Rica,"$23,527.50 ",5
2020,Uruguay,"$23,380.86 ",14
2020,Nepal,"$22,851.82 ",17
2020,Bangladesh,"$21,793.56 ",14
2020,United Arab Emirates,"$21,786.55 ",29
2020,Venezuela,"$20,732.54 ",9
2020,Dominican Republic,"$20,156.68 ",26
2020,Lao People's Democratic Republic,"$19,807.76 ",6
2020,Iceland,"$19,452.46 ",24
2020,Iraq,"$18,515.89 ",14
2020," Kosovo, Republic of","$17,195.31 ",9
2020,Guatemala,"$15,592.50 ",8
2020,Tunisia,"$14,384.04 ",13
2020,Myanmar,"$13,863.00 ",23
2020,Oman,"$12,370.00 ",3
2020,Luxembourg,"$10,677.42 ",8
2020,Ecuador,"$8,923.71 ",9
2020,Algeria,"$8,292.54 ",16
2020,Kuwait,"$7,916.67 ",8
2020,Malta,"$5,212.62 ",20
2020,Cambodia,"$4,500.00 ",10
2020,Nicaragua,"$4,117.48 ",1
2020,Paraguay,"$3,971.15 ",4
2020,Yemen,"$3,720.00 ",2
2020,Sri Lanka,"$2,400.00 ",5
2020,Qatar,"$2,025.00 ",6
2020,Panama,"$1,828.00 ",5
2020,Cyprus,"$1,315.84 ",5
2020,Gibraltar,$900.00 ,1
2020,Brunei Darussalam,$883.33 ,9
2020,New Caledonia,$300.00 ,1
2020," Palestinian Territory, Occupied",$300.00 ,1
2020,Faroe Islands,$200.00 ,1
2020,Guernsey,$100.00 ,1
2020,Jamaica,$75.75 ,1
2020,Isle of Man,$60.00 ,1
2020,Saint Barthélemy,$7.63 ,1
2020,Monaco,$1.17 ,1
2019,United States,"$43,573,655.11 ",5730
2019,China,"$18,495,629.67 ",1122
2019," Korea, Republic of","$16,632,913.77 ",1144
2019,France,"$10,477,062.65 ",1270
2019,Finland,"$9,875,086.21 ",350
2019,Denmark,"$9,539,276.34 ",500
2019,Canada,"$6,860,842.12 ",945
2019,United Kingdom,"$6,836,196.56 ",918
2019,Sweden,"$6,783,900.90 ",530
2019,Australia,"$6,625,161.77 ",847
2019,Germany,"$6,065,302.69 ",1179
2019,Brazil,"$5,944,855.54 ",1085
2019,Russian Federation,"$5,702,050.67 ",834
2019,Norway,"$3,514,673.33 ",223
2019,Japan,"$3,422,089.13 ",606
2019,Netherlands,"$3,173,683.72 ",467
2019,Poland,"$2,904,976.33 ",500
2019,Philippines,"$2,866,800.70 ",190
2019," Taiwan, Republic of China","$2,799,700.66 ",308
2019,Austria,"$2,789,315.34 ",209
2019,Bulgaria,"$2,329,994.70 ",83
2019,Thailand,"$2,207,376.44 ",347
2019,Malaysia,"$2,188,975.63 ",219
2019,Argentina,"$2,162,788.12 ",233
2019,Spain,"$1,853,171.21 ",505
2019,Jordan,"$1,753,186.25 ",26
2019,Hong Kong,"$1,481,091.19 ",99
2019,Ukraine,"$1,447,814.10 ",277
2019,Italy,"$1,172,564.10 ",238
2019,Lebanon,"$1,151,310.75 ",24
2019,Viet Nam,"$1,131,766.95 ",306
2019,Indonesia,"$1,061,619.89 ",310
2019,Romania,"$1,057,270.04 ",103
2019,Belgium,"$1,035,540.63 ",179
2019,Estonia,"$1,004,952.87 ",43
2019,Peru,"$966,641.12 ",123
2019,Switzerland,"$898,833.55 ",175
2019,Mexico,"$783,268.38 ",166
2019,Saudi Arabia,"$770,395.24 ",101
2019,Turkey,"$750,561.02 ",188
2019,New Zealand,"$720,850.52 ",99
2019,Pakistan,"$638,277.76 ",101
2019,Israel,"$626,977.40 ",73
2019,Czech Republic,"$591,534.74 ",188
2019,Kazakhstan,"$525,487.30 ",105
2019,Belarus,"$484,450.01 ",109
2019,Portugal,"$438,743.21 ",225
2019,Slovenia,"$401,184.51 ",48
2019,Slovakia,"$399,829.68 ",61
2019,Lithuania,"$365,032.28 ",86
2019,India,"$360,162.87 ",183
2019,Singapore,"$358,204.56 ",162
2019,Kyrgyzstan,"$274,785.80 ",15
2019,Latvia,"$252,855.15 ",90
2019,Bosnia and Herzegovina,"$244,488.99 ",19
2019,Serbia,"$235,881.34 ",78
2019,Hungary,"$222,819.69 ",114
2019,Greece,"$220,716.08 ",92
2019,Uzbekistan,"$218,402.13 ",21
2019,Croatia,"$216,044.38 ",51
2019,Ireland,"$211,613.89 ",61
2019,Bolivia,"$202,851.83 ",10
2019,Chile,"$182,634.50 ",115
2019,Tunisia,"$149,016.17 ",16
2019,United Arab Emirates,"$138,271.02 ",49
2019," Macedonia, The Former Yugoslav Republic of","$121,336.88 ",23
2019,South Africa,"$114,156.44 ",88
2019,Macao,"$113,334.21 ",17
2019,Egypt,"$88,524.20 ",26
2019,Puerto Rico,"$77,721.74 ",13
2019,Afghanistan,"$74,245.60 ",1
2019,Uruguay,"$73,582.41 ",23
2019,Mongolia,"$65,371.08 ",28
2019,Iceland,"$63,133.38 ",41
2019,Iraq,"$60,854.70 ",35
2019,Dominican Republic,"$56,174.87 ",39
2019,Colombia,"$54,496.26 ",50
2019,Cuba,"$42,267.33 ",3
2019,Montenegro,"$39,016.88 ",4
2019,Malta,"$38,526.34 ",39
2019,Costa Rica,"$35,986.67 ",33
2019,Luxembourg,"$33,167.34 ",16
2019,Cambodia,"$31,473.76 ",47
2019,Azerbaijan,"$31,367.62 ",44
2019," Iran, Islamic Republic of","$28,156.74 ",52
2019,Morocco,"$24,952.19 ",19
2019,Albania,"$24,236.09 ",15
2019,Algeria,"$22,883.33 ",10
2019,Armenia,"$22,637.41 ",7
2019,Syrian Arab Republic,"$21,515.00 ",6
2019," Moldova, Republic of","$18,768.10 ",11
2019,Georgia,"$17,347.10 ",20
2019," Kosovo, Republic of","$14,069.14 ",7
2019,Kuwait,"$13,611.09 ",15
2019,Bahrain,"$13,479.49 ",2
2019,Myanmar,"$11,298.97 ",47
2019,Guatemala,"$11,219.92 ",6
2019,Nepal,"$10,016.64 ",6
2019,Paraguay,"$8,920.03 ",14
2019,Oman,"$8,900.00 ",4
2019,Venezuela,"$8,643.37 ",24
2019,Greenland,"$7,525.00 ",2
2019,Lao People's Democratic Republic,"$6,221.08 ",26
2019,Qatar,"$5,747.26 ",6
2019,Nicaragua,"$5,563.83 ",4
2019," Palestinian Territory, Occupied","$4,517.63 ",4
2019,Ecuador,"$3,649.84 ",15
2019,Ghana,"$2,808.76 ",5
2019,Brunei Darussalam,"$2,694.00 ",26
2019,Gibraltar,"$2,400.00 ",1
2019,New Caledonia,"$2,000.00 ",1
2019,Panama,"$1,338.51 ",9
